gh_project_name,tr_build_id,build_successful,git_all_built_commits
CloudifySource/cloudify,4358709,TRUE,6ad9f2b63efc5e82cf96cc711eec3b0151b625a9
CloudifySource/cloudify,11774340,TRUE,23b112422fc0b48200d03e7bf3a14d4bcdeb4c5c
CloudifySource/cloudify,12366117,TRUE,b8ff01adeae204a65ce40eced1f42279a134e235
CloudifySource/cloudify,21416827,TRUE,22b3ae7354aa6588d9591b79bb6b6a40598e0fcd
CloudifySource/cloudify,12976218,TRUE,e02abb0aa2af66903bf3a49864cdd7978e1da497
CloudifySource/cloudify,15489631,TRUE,971fa16dda6baca21a42a7e632c4ba577a065c25
CloudifySource/cloudify,26035333,TRUE,a28fc9932a6edcc2771004ea6f9b011425bef921
CloudifySource/cloudify,16851578,TRUE,78ec2e31ca07c1a5a916088e2e82ac88296de857
CloudifySource/cloudify,2065314,TRUE,7a91ed1973fae5a96d018b6d6893963bbdf4bec9#230835907099a0f50abfd6ccf0c3c94d3249d522
CloudifySource/cloudify,2452732,TRUE,249ba7bf4d093830a455859e585725e72373f01c
CloudifySource/cloudify,2472163,TRUE,e1a9816b0d0c9da353c67d05095d54257e4dfd71
CloudifySource/cloudify,2553398,TRUE,90ff854038183961311d4d91973460a7c70ec423
CloudifySource/cloudify,6985656,FALSE,3940058163dd111092650c1dc9a028800462a59b
CloudifySource/cloudify,2961796,TRUE,e94b80f0f8a23cbf96dfc5a91da451c41b717744
CloudifySource/cloudify,3421156,TRUE,fe6e2ba2f02d742ea28f9f258be947675f733a9e
CloudifySource/cloudify,9046432,TRUE,5e613ed40f4cb9a03341ffea84b5e42b3d506ead
CloudifySource/cloudify,4351571,TRUE,88cae1c98c34ae70095c37c07b152ddc147adf35
CloudifySource/cloudify,28512939,TRUE,4c069550eeb49b77baf216a83455ecb0c56420e2
CloudifySource/cloudify,29177200,TRUE,307fdcf06a52792892a263880dbda27e35956760
CloudifySource/cloudify,12288570,TRUE,d91bceb50bd8af42dc129eecb66be0a54edb1760
CloudifySource/cloudify,21666014,TRUE,b9d7c5e8c6c965bb2853ac74d9822f7c80c00d3f
CloudifySource/cloudify,25462258,TRUE,4fc81c549a6ff57c064a111867095c171a7c1c52
CloudifySource/cloudify,1704837,TRUE,80fa46af62622b484f0a5fd3fe4e4323901b9de1
CloudifySource/cloudify,1717262,TRUE,67b2e56e132a797a0292bd79e705f693472668ac
CloudifySource/cloudify,1963123,TRUE,e71990a7e8d671925f2ed29e07740209c9679d14#765ce7193fcdbaf698f637f5d1264706edcfab33
CloudifySource/cloudify,18087676,TRUE,d0d0bd6d86f10cb13baaa7678578059eb3173bb9
CloudifySource/cloudify,3064982,TRUE,c626f2a7b3d3983e907bf686f34872ed99243a83
CloudifySource/cloudify,3065313,TRUE,ee0ad214c9858cfcc3f10a7dfc2325e7fe5ddf03
