buildID,build_Failed,duplicatedCode,GodClass,GodMethod,CyclomaticComplexity,DataClass
150081202,0,0,0,0,0,0
151915462,1,21,22,30,72,77
154751473,0,0,0,0,0,0
156355400,1,21,22,30,72,79
131131637,1,0,0,0,0,0
131496921,0,0,0,0,0,0
131505912,1,0,0,0,0,0
110195372,1,5,18,25,64,71
111016695,0,0,0,0,0,0
111270130,0,14,19,25,65,72
135700015,0,0,0,0,0,0
111868908,0,5,18,25,64,71
112618165,1,5,18,25,64,71
135960359,0,20,21,28,65,76
114268285,0,14,19,25,65,72
138166442,0,0,0,0,0,0
138384909,0,20,21,29,64,76
120071596,0,19,20,26,62,73
142483578,0,20,21,28,66,76
143337429,0,21,21,29,69,76
143989845,0,20,21,28,66,76
124769955,0,0,0,0,0,0
153317188,0,0,0,0,0,0
154849180,0,0,0,0,0,0
156010068,1,21,22,30,72,78
156313433,1,0,0,0,0,0
126753834,0,19,21,26,65,76
130012028,0,0,0,0,0,0
131196162,0,20,21,26,64,76
131201110,0,20,21,28,64,76
110965252,1,0,0,0,0,0
112902101,0,0,0,0,0,0
115378992,0,0,0,0,0,0
116710694,0,14,19,24,61,72
117561291,0,14,19,24,61,72
117565510,0,0,0,0,0,0
138156958,0,21,21,29,68,77
138386861,0,0,0,0,0,0
117996757,0,0,0,0,0,0
119318788,0,19,20,26,62,73
139790699,0,20,21,28,65,76
121176729,0,0,0,0,0,0
143108650,0,20,21,28,66,76
144659802,1,20,21,28,66,76
145621626,1,0,0,0,0,0
154278288,0,0,0,0,0,0
125939347,0,19,20,26,64,76
127256537,1,0,0,0,0,0
127869541,0,0,0,0,0,0
109963271,0,5,18,25,64,71
110396840,1,5,18,25,64,71
117488191,0,0,0,0,0,0
118239224,0,19,20,26,62,73
140572573,1,21,21,29,69,77
120124538,0,0,0,0,0,0
142861183,0,20,21,28,66,76
143904963,1,20,21,28,66,76
144486405,1,20,21,28,66,76
153305668,0,21,22,30,72,77
127210511,1,0,0,0,0,0
127222035,0,19,21,26,65,76
127526780,0,20,20,26,64,76
127606686,1,20,21,26,65,76
128348355,1,0,0,0,0,0
131196542,0,20,21,26,64,76
110425721,0,0,0,0,0,0
114586562,0,0,0,0,0,0
115331575,1,14,19,25,66,74
115953994,0,14,19,25,65,72
119616985,0,19,20,26,62,73
120155461,0,19,20,26,62,73
120298458,1,0,0,0,0,0
143360192,0,20,21,28,66,76
144180625,0,20,21,28,66,76
123059588,0,0,0,0,0,0
144850312,0,0,0,0,0,0
126159761,0,0,0,0,0,0
129524131,0,20,21,26,64,76
111517050,1,5,18,25,64,71
137874067,0,0,0,0,0,0
117758921,0,14,19,24,61,72
117762875,0,0,0,0,0,0
118314815,0,0,0,0,0,0
119074947,0,14,19,24,61,72
119316118,0,14,19,24,61,72
120959517,0,19,20,26,62,73
122124013,0,0,0,0,0,0
144786400,0,0,0,0,0,0
149565078,0,21,21,29,70,76
126160175,0,19,20,26,64,76
111272634,0,14,19,25,65,72
134576072,0,0,0,0,0,0
111597504,0,14,19,25,65,72
135873096,0,20,21,28,65,76
135940733,1,0,0,0,0,0
116642798,1,0,0,0,0,0
138915512,0,21,21,29,69,77
119080327,0,14,19,24,61,72
142504718,0,20,21,28,66,76
142770406,0,20,21,28,66,76
123368586,0,19,20,26,64,76
123435375,0,0,0,0,0,0
145091635,0,20,21,28,66,76
154161962,1,0,0,0,0,0
154889032,0,21,22,30,72,78
155099576,0,21,22,30,71,78
125947022,0,19,20,26,64,76
127554270,1,0,0,0,0,0
127625562,0,19,21,26,65,76
127811422,0,21,21,27,66,76
130037973,0,0,0,0,0,0
131475577,0,20,21,28,64,76
109974317,1,6,18,25,64,71
110192778,0,0,0,0,0,0
112880193,0,0,0,0,0,0
113198806,0,0,0,0,0,0
136170905,0,0,0,0,0,0
116627583,1,14,19,25,66,75
116914520,0,0,0,0,0,0
138123124,0,21,21,29,68,77
139014135,0,20,21,28,65,76
139020411,0,20,21,28,65,76
118059441,0,14,19,24,61,72
119518545,0,0,0,0,0,0
119830859,0,0,0,0,0,0
144525339,1,20,21,28,66,76
144766873,0,20,21,28,66,76
152664827,0,21,22,30,72,78
154745478,1,0,0,0,0,0
127605460,1,20,21,26,65,76
130586090,0,20,21,26,64,76
131760621,0,20,21,28,65,76
137892228,0,20,21,28,65,76
139309908,0,0,0,0,0,0
143895110,0,20,21,28,66,76
144079115,0,20,21,28,66,76
123055671,1,0,0,0,0,0
148880522,0,20,21,28,66,76
151866985,0,0,0,0,0,0
130923121,0,20,21,28,64,76
109938105,0,5,18,25,64,71
110961972,0,5,18,25,64,71
135698288,0,0,0,0,0,0
112981559,1,0,0,0,0,0
137867893,1,0,0,0,0,0
114568121,0,0,0,0,0,0
115920949,0,0,0,0,0,0
142470128,0,20,21,28,66,76
120983447,0,0,0,0,0,0
143170290,0,20,21,28,66,76
143948759,0,20,21,28,66,76
143961218,0,20,21,28,66,76
144078941,1,20,21,28,66,76
152415576,0,21,22,30,72,77
130910485,0,0,0,0,0,0
109885082,0,5,18,25,64,71
109988065,0,0,0,0,0,0
111322654,0,0,0,0,0,0
112048800,0,5,18,25,64,71
116736171,0,0,0,0,0,0
116987071,0,14,19,24,61,72
118028008,0,14,19,24,61,72
118502799,1,14,19,24,61,72
140075119,0,20,21,28,65,76
120967668,0,0,0,0,0,0
141661806,0,0,0,0,0,0
142765225,1,20,21,28,66,76
142869357,0,20,21,28,66,76
144555173,1,20,21,28,66,76
145113272,0,20,21,28,66,76
154751406,1,21,22,30,72,80
110192879,0,0,0,0,0,0
110478382,0,0,0,0,0,0
112902012,0,18,19,27,66,73
113499554,1,0,0,0,0,0
136260505,0,0,0,0,0,0
115153703,1,14,19,25,65,72
118539011,0,0,0,0,0,0
141662249,1,21,21,29,69,77
122292701,0,19,20,26,64,76
144472461,0,20,21,28,66,76
145930670,0,20,21,28,66,76
151866906,0,21,22,30,72,77
152790901,0,0,0,0,0,0
153393144,1,0,0,0,0,0
127878408,0,20,21,26,65,76
128934106,1,20,21,26,64,76
131715964,1,20,21,28,64,76
109667806,1,0,0,0,0,0
109672949,0,0,0,0,0,0
109985279,0,0,0,0,0,0
110211822,1,5,18,25,64,71
111078308,1,0,0,0,0,0
114276551,0,14,19,25,65,72
138431282,0,20,21,28,65,76
120126139,0,0,0,0,0,0
142589039,0,20,21,28,66,76
143881779,0,20,21,28,66,76
144078220,1,20,21,28,66,76
145098724,0,20,21,28,66,76
124235247,0,0,0,0,0,0
146370907,0,21,21,29,70,77
151218626,0,21,22,30,72,77
128059839,0,20,21,26,64,76
130026411,0,20,21,26,64,76
110442782,0,5,18,25,64,71
137252857,1,0,0,0,0,0
115423654,0,14,19,25,65,72
142818901,1,20,21,28,66,76
144555958,1,20,21,28,66,76
155090070,1,21,22,30,72,78
127243959,0,0,0,0,0,0
111282860,0,0,0,0,0,0
117511194,0,0,0,0,0,0
117565550,0,0,0,0,0,0
119918169,0,19,20,26,62,73
145092466,0,20,21,28,66,76
151836876,0,21,22,30,72,77
156531911,1,21,22,30,72,79
