buildID,build_Failed,duplicatedCode,GodClass,GodMethod,CyclomaticComplexity,DataClass
135672461,0,20,21,28,65,76
112696085,0,14,19,25,65,72
135934953,1,20,21,28,65,76
114526535,0,14,19,25,66,73
114529414,1,14,19,25,65,72
139285554,0,20,21,28,65,76
139577912,0,0,0,0,0,0
119807566,0,19,20,26,62,73
142258216,0,0,0,0,0,0
143950162,0,20,21,28,66,76
145031572,1,20,21,28,66,76
146123596,0,0,0,0,0,0
124850706,0,0,0,0,0,0
125914569,1,0,0,0,0,0
130832585,1,20,21,27,64,76
131516334,0,0,0,0,0,0
109887050,0,0,0,0,0,0
109936385,0,5,18,25,64,71
138386321,0,0,0,0,0,0
139487168,0,21,21,29,69,77
120152696,0,19,20,26,62,73
141672055,0,20,21,29,64,76
142577340,0,20,21,28,66,76
143400163,0,20,21,28,66,76
144906125,1,21,21,29,69,77
151022101,0,21,22,30,72,77
151227625,1,21,22,30,72,77
152444859,1,21,22,30,72,77
152666014,0,21,22,30,72,78
154154394,0,21,22,30,72,78
155052699,1,0,0,0,0,0
156023943,0,21,22,30,72,78
119052030,0,0,0,0,0,0
139860912,0,20,21,28,65,76
142773860,0,20,21,28,66,76
142862243,1,20,21,28,66,76
144523923,0,20,21,28,66,76
146391987,1,0,0,0,0,0
152473041,0,0,0,0,0,0
154158424,1,0,0,0,0,0
156333262,1,21,22,30,72,80
129213608,1,20,21,26,64,76
109887602,0,0,0,0,0,0
113679128,0,0,0,0,0,0
139567807,0,20,21,28,65,76
120468537,0,14,19,24,61,72
143947603,0,20,21,28,66,76
143969245,0,20,21,28,66,76
144161075,1,20,21,28,66,76
145037185,0,0,0,0,0,0
145071107,0,21,21,29,69,77
146104149,0,21,21,29,70,77
124313660,0,19,20,26,64,76
148122970,0,21,21,29,70,77
154249451,0,0,0,0,0,0
127589582,1,20,21,26,65,76
110230435,1,0,0,0,0,0
135934098,0,0,0,0,0,0
136160587,0,20,21,28,66,76
136165273,1,20,21,28,65,76
116914482,0,0,0,0,0,0
139025454,1,20,21,28,65,76
118502881,1,0,0,0,0,0
141684440,0,20,21,28,66,76
143984909,0,20,21,28,66,76
153101715,0,21,22,30,72,77
